충청북도,음성군,2 ,338 ,61 ,51 
충청북도,단양군,2 ,157 ,32 ,28 
강원도,춘천시,4 ,2009 ,120 ,114 
강원도,원주시,6 ,1499 ,100 ,79 
강원도,강릉시,2 ,727 ,71 ,62 
강원도,동해시,23 ,238 ,75 ,69 
강원도,속초시,31 ,453 ,167 ,174 
강원도,삼척시,1 ,439 ,19 ,19 
강원도,홍천군,5 ,383 ,53 ,53 
강원도,횡성군,2 ,238 ,50 ,46 
강원도,영월군,1 ,295 ,30 ,29 
강원도,평창군,2 ,473 ,52 ,57 
강원도,정선군,2 ,142 ,22 ,24 
강원도,철원군,2 ,142 ,38 ,39 
강원도,화천군,1 ,122 ,36 ,35 
강원도,양구군,3 ,112 ,29 ,27 
강원도,인제군,3 ,119 ,44 ,43 
강원도,고성군,8 ,310 ,35 ,30 
강원도,양양군,3 ,445 ,65 ,61 
경기도,수원시 권선구,298 ,1800 ,817 ,823 
경기도,성남시 분당구,56 ,5000 ,1102 ,1290 
경기도,평택시,26 ,1481 ,253 ,227 
경기도,동두천시,26 ,635 ,193 ,181 
경기도,안산시 상록구,30 ,599 ,251 ,250 
경기도,안산시 단원구,27 ,563 ,207 ,239 
경기도,고양시 덕양구,72 ,1215 ,407 ,378 
경기도,고양시 일산동구,110 ,2137 ,532 ,454 
경기도,고양시 일산서구,166 ,968 ,297 ,291 
경기도,구리시,257 ,605848 ,654 ,676 
경기도,남양주시,22 ,2372 ,412 ,363 
경기도,오산시,27 ,2119 ,684 ,605 
경기도,시흥시,91 ,1810 ,354 ,363 
경기도,하남시,45 ,1987 ,744 ,690 
경기도,용인시 처인구,11 ,1735 ,319 ,302 
경기도,용인시 기흥구,74 ,2785 ,985 ,998 
경기도,용인시 수지구,203 ,2109 ,936 ,1213 
경기도,파주시,7 ,2420 ,170 ,157 
경기도,이천시,8 ,1557 ,137 ,121 
경기도,안성시,5 ,1548 ,133 ,114 
경기도,김포시,8 ,1774 ,290 ,302 
경기도,화성시,15 ,1971 ,226 ,212 
경기도,광주시,19 ,1362 ,343 ,319 
경기도,양주시,16 ,1516 ,227 ,209 
경기도,포천시,10 ,1059 ,133 ,121 
경기도,여주시,4 ,756 ,93 ,82 
경기도,연천군,4 ,261 ,59 ,55 
경기도,가평군,6 ,505 ,115 ,121 
경기도,양평군,8 ,1333 ,139 ,131 
세종특별자치시,세종특별자치시,12 ,1512 ,242 ,212 
울산광역시,북구,15 ,1512 ,174 ,160 
울산광역시,울주군,6 ,2000 ,190 ,166 
대전광역시,동구,12 ,907 ,146 ,77 
대전광역시,중구,26 ,181 ,91 ,81 
대전광역시,서구,22 ,849 ,111 ,99 
대전광역시,유성구,37 ,2087 ,347 ,218 
대전광역시,대덕구,23 ,528 ,265 ,127 
광주광역시,서구,13 ,2115 ,575 ,721 
광주광역시,남구,21 ,311 ,122 ,118 
광주광역시,북구,20 ,968 ,220 ,121 
광주광역시,광산구,9 ,1059 ,121 ,89 
인천광역시,중구,33 ,2681 ,525 ,569 
인천광역시,남동구,196 ,1135 ,434 ,456 
인천광역시,계양구,117 ,2029 ,321 ,303 
인천광역시,서구,52 ,1326 ,583 ,514 
인천광역시,강화군,15 ,597 ,93 ,128 
인천광역시,옹진군,2 ,665 ,95 ,106 
대구광역시,동구,31 ,606 ,233 ,190 
대구광역시,수성구,3 ,1201 ,341 ,330 
대구광역시,달성군,4 ,1665 ,190 ,166 
부산광역시,강서구,10 ,873 ,253 ,221 
부산광역시,기장군,44 ,1361 ,366 ,298 
서울특별시,서울특별시,151 ,5963 ,941 ,717 
